,params,accuracy,precision,recall,f1,dataset
1,"{'C': 0.8, 'solver': 'lbfgs'}",0.47075606276747506,0.413795009296876,0.2883384965160959,0.2991980380959212,combined
0,"{'C': 1, 'solver': 'lbfgs'}",0.47218259629101283,0.4051450528276353,0.28161452568703343,0.29649366462648113,combined
2,"{'C': 0.6, 'solver': 'lbfgs'}",0.4607703281027104,0.4054578588454013,0.2880772946734022,0.2929541758776738,combined
3,"{'C': 0.4, 'solver': 'lbfgs'}",0.4479315263908702,0.40189751830755055,0.2915297920197238,0.29149499186295597,combined
1,"{'C': 0.8, 'solver': 'lbfgs'}",0.6590584878744651,0.27984284914869195,0.41772530150493614,0.28976076077695406,undersampled
0,"{'C': 1, 'solver': 'lbfgs'}",0.6476462196861626,0.27845391642138095,0.3320095450463823,0.2818956105513406,undersampled
3,"{'C': 0.4, 'solver': 'lbfgs'}",0.6533523537803139,0.27201506049898555,0.4126711606602714,0.2796408983009853,undersampled
4,"{'C': 0.2, 'solver': 'lbfgs'}",0.4607703281027104,0.3921914206861129,0.26777060260497115,0.27956615257298145,combined
3,"{'C': 0.4, 'solver': 'lbfgs'}",0.6890156918687589,0.24765633502364537,0.4604727605327846,0.2763879205836556,original_augmented
2,"{'C': 0.6, 'solver': 'lbfgs'}",0.6918687589158345,0.2468760581241532,0.4546849332128962,0.27395861660883014,original_augmented
0,"{'C': 1, 'solver': 'lbfgs'}",0.6918687589158345,0.2452167300093456,0.449448115237589,0.2704057017379677,original_augmented
1,"{'C': 0.8, 'solver': 'lbfgs'}",0.6890156918687589,0.2455583862955679,0.4391930256951265,0.26921680936936954,original_augmented
0,"{'C': 1, 'solver': 'lbfgs'}",0.6861626248216833,0.24545689408578072,0.4152557489879853,0.2654385865553525,original
4,"{'C': 0.2, 'solver': 'lbfgs'}",0.6861626248216833,0.2387235582819715,0.43491743180977366,0.2615093375082799,original_augmented
4,"{'C': 0.2, 'solver': 'lbfgs'}",0.6533523537803139,0.25927054128741056,0.2735410717374897,0.25954539127669507,undersampled
2,"{'C': 0.6, 'solver': 'lbfgs'}",0.6619115549215406,0.26233208834684346,0.2494120059909534,0.255678965587098,undersampled
1,"{'C': 0.8, 'solver': 'lbfgs'}",0.6804564907275321,0.2346669923376295,0.28770368614296343,0.24800968501378942,original
2,"{'C': 0.6, 'solver': 'lbfgs'}",0.6833095577746077,0.23510742293967496,0.2761701965854215,0.24355782306608803,original
4,"{'C': 0.2, 'solver': 'lbfgs'}",0.6918687589158345,0.2315210892165272,0.28839716666783033,0.2409585074884282,original
3,"{'C': 0.4, 'solver': 'lbfgs'}",0.6904422253922967,0.22857212240045918,0.2864296985135547,0.24054530200988783,original
